,длина_1,длина_2,длина_целого,высота_обуха,ширина,обух_ширина,диаметр,сечение_1,сечение_2,сечение_3
0,0.11847734743470127,-0.07371230791453333,-0.0016890739894459097,-0.8847458520044673,0.6309432598198421,0.20418990996104144,0.7541145577530467,-0.13535873105467658,0.442386278477068,0.3217663098314104
1,0.25632118435392104,-1.3544164064501207,-0.9023376792092914,-0.8847458520044673,-1.0162839079037447,-1.4244272250668295,-0.5721624987603066,-0.9377301435526973,-0.7876881687628825,-1.0626385188469492
2,-0.915351429459446,2.1217804324321885,1.1414418480203583,-0.8847458520044673,0.43715182832294935,2.2613905015751943,1.0193699690557176,1.3690876673791115,1.0574235020970428,0.7477370263478281
3,-1.4667267771363248,-0.6683249250917703,-1.248740988909232,-0.8847458520044673,-1.597658202394422,-0.3958269292597529,-0.5721624987603066,-0.6368408638659394,-0.6851819648262204,-0.31718976494321743
4,0.53200885819236,-0.8055432213634403,-0.3480923836893865,-0.8847458520044673,-0.14422246616772788,-0.13867685530798393,-1.6331841439709889,-0.43624801074143454,-0.2751571490795699,0.5347516680896197
5,0.25632118435392104,-0.8970220855445538,-0.5559343695093507,-0.8847458520044673,0.07863768005369809,0.40133829999073106,0.22360373514770615,1.2687912408168591,1.2316840487893692,1.131110671212605
6,-1.397804858676715,-1.2171981101784508,-1.6297846295791665,0.28312292156142976,-1.0453526226282788,0.041328196458254404,0.48885914645037704,0.4664198283188389,-0.03939288002524652,-0.09355513877209794
7,0.6698526951115797,1.4814283831643944,1.4532048267503044,1.4515759216273598,0.04956896532916397,-0.0529601639907275,-0.8374179100629762,0.26582697519433357,-0.2751571490795699,0.7477370263478281
8,-0.915351429459446,-0.21093060418620332,-0.6252150314493387,0.4583908715713192,-0.14422246616772788,0.28990660127829787,0.7541145577530467,0.26582697519433357,-0.2751571490795699,-0.21069708581411234
9,-1.1910391032978855,-0.8055432213634403,-1.214100657939238,-0.008990328455052732,-1.597658202394422,-1.2529938424323168,-1.8984395552736593,-1.238619423239455,-1.0952067805728705,-2.02107263100889
10,0.9455403689500192,0.520900309262704,0.8643192002604057,-0.8847458520044673,1.406108985807412,-1.9387273729703678,-0.041651676154964734,0.8676055345678486,0.7499048902870554,0.6412443472187239
11,1.2901499612480685,-0.07371230791453333,0.5871965525004536,-0.8847458520044673,0.553426687221085,-0.13867685530798393,1.0193699690557176,-0.6669297918346154,-0.32641025104790095,-0.5621229269401574
12,-0.36397608178256763,-0.8512826534539972,-0.8330570172693029,0.28312292156142976,0.4565309714726382,-0.18153520096661196,0.011399406105569445,-0.3660405121478575,-0.797938789156549,-0.47692878363687374
13,-0.6396637556210072,0.6581186055343736,0.1715125808605244,0.28312292156142976,-0.7449759038080949,-0.13867685530798393,0.6480123932319783,-0.1654476590233526,-0.32641025104790095,-0.019010263381724443
14,1.1523061243288486,0.4294214450815902,0.8989595312304002,-0.8847458520044673,-0.5318053291615132,-1.2101354967736886,-1.6066586028407217,-0.8775522876153458,-0.20340280632390673,-1.4247136278859043
15,0.18739926589431086,0.8868157659871572,0.7603982073504238,0.8673494215943948,-1.5879686308195775,-0.4301136057866555,-1.8984395552736593,-0.9277005008964718,-0.7159338260072189,-0.15745074624956024
16,0.3941650212731402,1.069773494349384,1.0028805241403826,-0.8847458520044673,1.406108985807412,0.118473218643785,0.22360373514770615,0.06523412206982827,0.8114086126490526,1.6422755310323072
17,0.4630869397327504,-1.0342403818162238,-0.5559343695093507,-0.8847458520044673,0.04956896532916397,0.041328196458254404,0.7275890166227802,-0.13535873105467658,0.339880074540405,0.3217663098314104
